tile_id,tile_name_,WSID,spring,autumn,winter,unknown,summer,freshet,frazil,coastal storm,unknown_1,heavy rain,beaver dam failure,municipal water main break,dam failure,ice jam
11AC000,Frenchman,40,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10EC000,Lower South Nahanni,46,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
02RC000,Lower Peribonca,77,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
05LM000,Dauphin,111,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10LC000,Eastern Mackenzie Delta,141,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
02BD000,Michipicoten - Magpie,161,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
09EB000,Central Yukon - Sixty Mile,224,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
08JAB03,Nechako Reservoir (part of),227,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
05MA000,Quill Lakes - Non-contributing,232,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
05L1001,Manitoba Lake (part of),235,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
05NFB00,Central Souris - Antler,380,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
08KA002,Headwaters Fraser (part of),399,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
02HH000,Kawartha Lakes,403,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
08LG001,Nicola (part of),408,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
09FDA00,Central Porcupine,431,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
05NDA00,Central Souris - Moose Mountain,496,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
02WB000,Natashquan,532,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
04KB000,Lower Moose,596,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
01BQ000,Northwest Miramichi,614,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
05KD000,Upper Saskatchewan,624,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
02DB000,Lower Wanapitei,652,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
05MD000,Upper Assiniboine - Shell,675,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
08EC001,Babine (part of),773,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
05HD000,Swift Current,779,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
07PA000,Southern Great Slave Lake - Buffalo,791,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
08LE001,South Thompson (part of),797,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10HC000,Central Mackenzie - Blackwater,809,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
02BC000,White,842,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
08KG001,West Road (part of),902,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
05OB000,Lower Pembina River,927,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
02ED000,Nottawasaga,951,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
02MCE00,Salmon River,955,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
01BA000,Upper Restigouche,969,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
04FA000,Otoskwin,1002,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
05JL000,Central Qu'Appelle - Pheasant,1019,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
05ME000,Upper Assiniboine - Birdtail,1070,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
02WC000,Olomane,1100,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
05PF000,Lower Winnipeg,1127,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
08LA001,Clearwater (B.C.) (part of),1144,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
02NF000,Matawin,1183,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
01AG000,Aroostook,1229,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
08MC001,William      Lower Fraser - Williams Lake (part of),1298,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
08KF001,Nazko (part of),1334,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
02RE000,Upper Mistassini,1207,1.000,0.000,0.000,0.000,0.000,0.857,0.000,0.000,0.000,0.143,0.000,0.000,0.000,0.000
08LF003,Thompson - Mouth (part of),153,1.000,0.000,0.000,0.000,0.000,0.833,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.000
05SD001,Fisher (part of),176,1.000,0.000,0.000,0.000,0.000,0.714,0.000,0.000,0.000,0.286,0.000,0.000,0.000,0.000
04DB000,Central Winisk,394,1.000,0.000,0.000,0.000,0.000,0.667,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.000
05OG000,La Salle,999,1.000,0.000,0.000,0.000,0.000,0.600,0.000,0.000,0.000,0.400,0.000,0.000,0.000,0.000
05OCB00,Middle Red,1235,1.000,0.000,0.000,0.000,0.000,0.579,0.000,0.000,0.000,0.421,0.000,0.000,0.000,0.000
02NC000,Upper Saint-Maurice,650,1.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000
10GC000,Upper Mackenzie - Martin,1151,1.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500
09EA000,Klondike,1177,1.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500
501001,Lake Winnipeg (part of),972,1.000,0.000,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.667,0.000,0.000,0.000,0.000
05LG001,Southwestern Lake Winnipeg - Pine (Man.) (Part of),92,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000
07KA000,Lower Peace - Wentzel,155,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000
05HH000,Lower South Saskatchewan - Mouth,211,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000
05SC001,Icelandic (part of),299,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000
02YM000,Western Notre Dame Bay,335,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000
02HD000,Ganaraska,388,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
09EC000,Fortymile,400,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
05BJ000,Elbow,466,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000
05PG000,Whiteshell,568,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000
05LF001,Northern Lake Winnipegeosis - Steeprock (part of),583,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000
05SB001,Willow (part of),587,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000
07HF000,Central Peace - Keg,847,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000
05DE000,Upper North Saskatchewan - Wabamun,957,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000
05OH001,Seine (part of),1117,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000
05HG001,Lower South Saskatchewan - Brightwater (part of),1276,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
02LE000,Upper Lièvre,1259,0.947,0.000,0.000,0.000,0.053,0.947,0.000,0.000,0.053,0.000,0.000,0.000,0.000,0.000
02MCA00,Lake St. François,763,0.933,0.000,0.000,0.000,0.067,0.867,0.000,0.000,0.000,0.133,0.000,0.000,0.000,0.000
05OF000,Morris,553,0.923,0.000,0.000,0.000,0.077,0.538,0.000,0.000,0.000,0.462,0.000,0.000,0.000,0.000
01AO000,Lower Saint John - Grand Lake,662,0.909,0.006,0.034,0.023,0.028,0.915,0.000,0.000,0.017,0.068,0.000,0.000,0.000,0.000
04FC000,Lower Attawapiskat,478,0.909,0.000,0.000,0.091,0.000,0.909,0.000,0.000,0.091,0.000,0.000,0.000,0.000,0.000
02PG001,Lower St. Lawrence - Loup (part of),666,0.909,0.000,0.000,0.000,0.091,0.909,0.000,0.000,0.000,0.091,0.000,0.000,0.000,0.000
07OB000,Lower Hay,736,0.909,0.000,0.000,0.091,0.000,0.909,0.000,0.000,0.091,0.000,0.000,0.000,0.000,0.000
02RD000,Lac Saint-Jean - Mistassini,526,0.895,0.000,0.053,0.000,0.053,0.789,0.000,0.000,0.053,0.105,0.053,0.000,0.000,0.000
04MA000,Upper Abitibi,678,0.857,0.000,0.000,0.000,0.143,0.857,0.000,0.000,0.000,0.143,0.000,0.000,0.000,0.000
04CF000,Lower Severn,703,0.857,0.143,0.000,0.000,0.000,0.714,0.000,0.143,0.143,0.000,0.000,0.000,0.000,0.000
01AN000,Salmon (N.B.),775,0.833,0.000,0.167,0.000,0.000,0.917,0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000
05MH000,Central Assiniboine - Cypress,73,0.833,0.000,0.000,0.000,0.167,0.833,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.000
01BC000,Central Restigouche,435,0.833,0.111,0.056,0.000,0.000,0.833,0.000,0.056,0.000,0.111,0.000,0.000,0.000,0.000
01BE000,Upsalquitch,1241,0.833,0.000,0.000,0.000,0.167,0.833,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.000
02RF000,Chamouchouane,220,0.833,0.000,0.000,0.000,0.167,0.750,0.000,0.000,0.000,0.167,0.083,0.000,0.000,0.000
02DD000,French (Ont.),341,0.833,0.000,0.000,0.167,0.000,0.667,0.000,0.000,0.167,0.000,0.167,0.000,0.000,0.000
05MJ000,Lower Assiniboine - Mouth,1141,0.833,0.000,0.000,0.056,0.111,0.667,0.000,0.000,0.056,0.278,0.000,0.000,0.000,0.000
02OAA01,Montreal Island (part of),307,0.818,0.000,0.000,0.000,0.182,0.803,0.000,0.000,0.000,0.197,0.000,0.000,0.000,0.000
